timestamp,violation_type,plate_number,confidence,screenshot_path
20260403_203143_562603,red_light_jump,DETECTED,0.0,violations/red_light_jump_20260403_203143_562603.jpg
20260403_203833_934856,red_light_jump,N/A,0.0,violations/red_light_jump_20260403_203833_934856.jpg
20260403_203842_612279,red_light_jump,PLATE DETECTED,0.0,violations/red_light_jump_20260403_203842_612279.jpg
20260403_204508_217172,red_light_jump,N/A,0.0,violations/red_light_jump_20260403_204508_217172.jpg
20260403_204516_600779,red_light_jump,PLATE DETECTED,0.0,violations/red_light_jump_20260403_204516_600779.jpg
20260403_205222_368056,red_light_jump,N/A,0.0,violations/red_light_jump_20260403_205222_368056.jpg
20260403_205231_044301,red_light_jump,PLATE DETECTED,0.0,violations/red_light_jump_20260403_205231_044301.jpg
20260403_210606_260255,red_light_jump,N/A,0.0,violations/red_light_jump_20260403_210606_260255.jpg
20260403_210637_657274,red_light_jump,PLATE DETECTED,0.0,violations/red_light_jump_20260403_210637_657274.jpg
20260403_212621_741144,red_light_jump,N/A,0.0,violations/red_light_jump_20260403_212621_741144.jpg
20260403_212653_377309,red_light_jump,YB6433 6433,0.0,violations/red_light_jump_20260403_212653_377309.jpg
20260403_212729_080267,red_light_jump,775,0.0,violations/red_light_jump_20260403_212729_080267.jpg
20260403_212729_818381,red_light_jump,W773,0.0,violations/red_light_jump_20260403_212729_818381.jpg
20260403_213556_380255,red_light_jump,N/A,0.0,violations/red_light_jump_20260403_213556_380255.jpg
20260403_213625_616293,red_light_jump,YB6433 6433,0.0,violations/red_light_jump_20260403_213625_616293.jpg
20260403_213657_949286,red_light_jump,775,0.0,violations/red_light_jump_20260403_213657_949286.jpg
20260403_213658_664559,red_light_jump,W773,0.0,violations/red_light_jump_20260403_213658_664559.jpg
20260403_222213_307405,red_light_jump,N/A,0.0,violations/red_light_jump_20260403_222213_307405.jpg
20260403_222231_055297,red_light_jump,YB 6433,0.0,violations/red_light_jump_20260403_222231_055297.jpg
20260403_223236_107891,red_light_jump,N/A,0.0,violations/red_light_jump_20260403_223236_107891.jpg
20260403_223252_757469,red_light_jump,YB 6433,0.0,violations/red_light_jump_20260403_223252_757469.jpg
20260403_224800_114275,red_light_jump,N/A,0.0,violations/red_light_jump_20260403_224800_114275.jpg
20260403_224834_368581,red_light_jump,YB 6433,0.0,violations/red_light_jump_20260403_224834_368581.jpg
20260404_001625_676125,red_light_jump,N/A,0.0,violations/red_light_jump_20260404_001625_676125.jpg
20260404_001642_361334,red_light_jump,YB 6433,0.0,violations/red_light_jump_20260404_001642_361334.jpg
20260404_002117_681471,red_light_jump,N/A,0.0,violations/red_light_jump_20260404_002117_681471.jpg
20260404_002137_057215,red_light_jump,YB 6433,0.0,violations/red_light_jump_20260404_002137_057215.jpg
20260404_002647_660077,red_light_jump,N/A,0.0,violations/red_light_jump_20260404_002647_660077.jpg
20260404_002707_167221,red_light_jump,YB 6433,0.0,violations/red_light_jump_20260404_002707_167221.jpg
20260404_003504_966629,red_light_jump,N/A,0.0,violations/red_light_jump_20260404_003504_966629.jpg
20260404_003510_061600,red_light_jump,YB 6433,0.0,violations/red_light_jump_20260404_003510_061600.jpg
20260404_004005_117169,red_light_jump,N/A,0.0,violations/red_light_jump_20260404_004005_117169.jpg
20260404_004010_840288,red_light_jump,8643,0.0,violations/red_light_jump_20260404_004010_840288.jpg
20260404_004327_438414,red_light_jump,0112,0.0,violations/red_light_jump_20260404_004327_438414.jpg
20260404_004331_017616,red_light_jump,8643,0.0,violations/red_light_jump_20260404_004331_017616.jpg
20260404_004343_176978,red_light_jump,448,0.0,violations/red_light_jump_20260404_004343_176978.jpg
20260404_004350_553603,red_light_jump,BN 773,0.0,violations/red_light_jump_20260404_004350_553603.jpg
20260404_004515_555433,red_light_jump,0112,0.0,violations/red_light_jump_20260404_004515_555433.jpg
20260404_004519_762280,red_light_jump,8643,0.0,violations/red_light_jump_20260404_004519_762280.jpg
20260404_004533_053636,red_light_jump,448,0.0,violations/red_light_jump_20260404_004533_053636.jpg
20260404_004541_727000,red_light_jump,BN 773,0.0,violations/red_light_jump_20260404_004541_727000.jpg
20260404_004856_414132,red_light_jump,0112,0.0,violations/red_light_jump_20260404_004856_414132.jpg
20260404_004900_410869,red_light_jump,8643,0.0,violations/red_light_jump_20260404_004900_410869.jpg
20260404_004912_310258,red_light_jump,448,0.0,violations/red_light_jump_20260404_004912_310258.jpg
20260404_004920_059729,red_light_jump,BN 773,0.0,violations/red_light_jump_20260404_004920_059729.jpg
20260404_005003_412702,red_light_jump,000,0.0,violations/red_light_jump_20260404_005003_412702.jpg
20260404_005012_924819,red_light_jump,N/A,0.0,violations/red_light_jump_20260404_005012_924819.jpg
20260404_005041_979165,red_light_jump,N/A,0.0,violations/red_light_jump_20260404_005041_979165.jpg
20260404_005152_621889,red_light_jump,0112,0.0,violations/red_light_jump_20260404_005152_621889.jpg
20260404_005156_246092,red_light_jump,8643,0.0,violations/red_light_jump_20260404_005156_246092.jpg
20260404_005207_928412,red_light_jump,448,0.0,violations/red_light_jump_20260404_005207_928412.jpg
20260404_005216_406427,red_light_jump,BN 773,0.0,violations/red_light_jump_20260404_005216_406427.jpg
20260404_005702_612901,red_light_jump,0112,0.0,violations/red_light_jump_20260404_005702_612901.jpg
20260404_005706_292965,red_light_jump,8643,0.0,violations/red_light_jump_20260404_005706_292965.jpg
20260404_005717_600394,red_light_jump,448,0.0,violations/red_light_jump_20260404_005717_600394.jpg
20260404_005724_998789,red_light_jump,BN 773,0.0,violations/red_light_jump_20260404_005724_998789.jpg
20260404_011416_734615,red_light_jump,NY 111,0.0,violations/red_light_jump_20260404_011416_734615.jpg
20260404_012401_587749,red_light_jump,N/A,0.0,violations/red_light_jump_20260404_012401_587749.jpg
20260404_013720_754580,red_light_jump,YB 6435,0.0,violations/red_light_jump_20260404_013720_754580.jpg
20260404_013721_375522,red_light_jump,NB 6433,0.0,violations/red_light_jump_20260404_013721_375522.jpg
20260404_013736_440358,red_light_jump,NN 773,0.0,violations/red_light_jump_20260404_013736_440358.jpg
20260404_014157_501741,red_light_jump,YB 6435,0.0,violations/red_light_jump_20260404_014157_501741.jpg
20260404_014158_060811,red_light_jump,NB 6433,0.0,violations/red_light_jump_20260404_014158_060811.jpg
20260404_014213_577303,red_light_jump,NN 773,0.0,violations/red_light_jump_20260404_014213_577303.jpg
20260404_133802_490693,red_light_jump,YB 6433,0.0,violations/red_light_jump_20260404_133802_490693.jpg
20260404_134839_494140,red_light_jump,YB 6433,0.0,violations/red_light_jump_20260404_134839_494140.jpg
20260404_134841_828643,red_light_jump,NN 773,0.0,violations/red_light_jump_20260404_134841_828643.jpg
20260404_135156_258904,red_light_jump,NB 6433,0.0,violations/red_light_jump_20260404_135156_258904.jpg
20260404_135201_508315,red_light_jump,NN 773,0.0,violations/red_light_jump_20260404_135201_508315.jpg
20260405_113405_980669,red_light_jump,NN 773,0.0,violations/red_light_jump_20260405_113405_980669.jpg
